Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
20-Sep,new jersey,449462,29710,16316,816,650429.4649,39653
20-Sep,indiana,227450,10244,6704,304,300234.4883,18747
20-Sep,west virginia,169900,4654,1492,76,253196.9625,7327
20-Sep,mississippi,228750,6538,2000,216,295105.2012,10663
20-Sep,utah,510950,6141,4020,640,974254.1124,16501
20-Sep,connecticut,385900,16110,5980,380,811745.4441,16274
20-Sep,delaware,349950,2320,1216,492,470137.5299,3098
20-Sep,california,724500,52810,39720,1936,1497087.587,112371
20-Sep,arizona,391700,11558,8928,1224,647470.0407,30624
20-Sep,kansas,215000,5402,2720,176,307445.655,11565
20-Sep,nebraska,249250,3847,1928,148,304459.1791,8601
20-Sep,michigan,249900,22908,12540,700,360701.5432,39700
20-Sep,missouri,229900,13560,7232,864,322756.8315,28717
20-Aug,maine,299000,5009,2092,104,452203.0664,6478
20-Aug,virginia,364900,19762,11336,1448,523256.4976,33788
20-Aug,tennessee,329000,15726,8620,1252,469394.3901,30859
20-Aug,georgia,329900,42785,22112,3532,453851.0754,83612
20-Aug,rhode island,419900,1818,1324,24,743231.6697,4713
20-Aug,oklahoma,232500,9365,4008,412,315451.4633,17888
20-Aug,south dakota,253900,3073,1004,56,327890.4215,4039
20-Aug,texas,310784,74173,33920,5984,455778.1085,130670
20-Aug,missouri,230000,13837,6796,612,322296.2792,29296
20-Aug,north dakota,241900,2824,976,92,285542.6226,4175
20-Aug,ohio,219900,16898,11312,704,302181.9281,41813
20-Aug,arkansas,210000,8530,3140,124,290430.7351,13232
20-Aug,connecticut,389900,16531,5868,300,807623.227,16702
20-Aug,louisiana,249900,12804,3752,520,337554.6568,20908
20-Aug,colorado,524900,19044,10552,1008,1021461.757,37056
20-Aug,florida,345000,107391,35808,6000,711004.2315,179672
20-Aug,nevada,355000,10108,4824,416,602141.7292,12587
20-Aug,new jersey,449000,29992,16104,752,646686.8844,39714
20-Aug,nebraska,250000,3943,1932,260,305720.7725,8706
20-Aug,arizona,392685,11764,8732,1120,638158.6791,30198
20-Aug,delaware,345990,2546,1192,416,471559.8176,3279
20-Aug,maryland,360000,10221,7068,676,512203.3634,14226
20-Aug,kansas,215000,5635,2732,164,310709.9362,11798
20-Aug,washington,499950,13326,9448,1036,703869.7136,29711
20-Aug,kentucky,240000,7855,3804,180,326383.8152,17475
20-Aug,utah,499000,6906,4484,760,933760.1882,17371
20-Aug,alaska,315000,2398,964,52,366232.7346,2542
20-Aug,wyoming,290000,2690,972,52,643587.9743,3863
20-Aug,alabama,258944,14261,5744,864,341407.4198,21458
20-Aug,new hampshire,384900,2960,2144,152,510792.8765,5523
20-Aug,illinois,260000,42174,19712,616,386884.581,76054
20-Aug,iowa,222000,10988,3828,584,257886.7683,19379
20-Aug,montana,399500,4232,1724,76,747630.8009,8334
20-Aug,minnesota,309000,15692,9372,392,404030.5834,28867
20-Aug,michigan,254900,24402,13396,688,363256.4558,41442
20-Aug,wisconsin,270000,13261,6816,188,358778.9848,23914
20-Aug,hawaii,635000,6804,1760,64,1159552.119,7836
20-Aug,indiana,234900,10203,6208,324,305966.9769,19270
20-Aug,south carolina,289999,19320,7244,2064,448451.0957,34290
20-Aug,vermont,325000,2865,1064,52,484852.1796,4526
20-Aug,idaho,409900,4367,2844,388,712919.6077,10152
20-Aug,california,720000,52788,36700,2116,1480451.275,112520
20-Aug,mississippi,227500,6836,2068,252,287023.9394,11193
20-Aug,new mexico,285000,5291,2132,156,436716.4803,9364
20-Aug,pennsylvania,259999,25344,12804,1012,382785.2967,39790
